filename,FaceOcclusion,gender,source_filename,occluder_type,actual_area,original_label
data/synthetic/_smoke/images/syn_000000.webp,0.49501,0.0,database3/database3/m.01nwrs/70-FaceId-0_align.webp,hair,0.405279,0.089731
data/synthetic/_smoke/images/syn_000001.webp,0.406768,1.0,database3/database3/m.02gx21/51-FaceId-0_align.webp,scarf,0.386134,0.020634
data/synthetic/_smoke/images/syn_000002.webp,0.337783,0.0,database3/database3/m.0289m9j/17-FaceId-0_align.webp,headwear,0.305207,0.032576
data/synthetic/_smoke/images/syn_000003.webp,0.460257,1.0,database3/database3/m.01rydx/21-FaceId-0_align.webp,hair,0.417143,0.043114
data/synthetic/_smoke/images/syn_000004.webp,0.391604,1.0,database3/database3/m.01j0183/11-FaceId-0_align.webp,hair,0.383351,0.008253
data/synthetic/_smoke/images/syn_000005.webp,0.277282,1.0,database3/database3/m.01w0wj/51-FaceId-0_align.webp,hand,0.263904,0.013378
data/synthetic/_smoke/images/syn_000006.webp,0.3374,1.0,database1/img00015024.webp,hair,0.279387,0.058013
data/synthetic/_smoke/images/syn_000007.webp,0.483008,0.0,database3/database3/m.01lqf49/74-FaceId-0_align.webp,headwear,0.453059,0.029949
data/synthetic/_smoke/images/syn_000008.webp,0.401304,1.0,database3/database3/m.01wtnrb/44-FaceId-0_align.webp,hair,0.381404,0.0199
data/synthetic/_smoke/images/syn_000009.webp,0.367276,1.0,database3/database3/m.021z73/14-FaceId-0_align.webp,headwear,0.363057,0.004219
data/synthetic/_smoke/images/syn_000010.webp,0.360837,1.0,database3/database3/m.01bmh3/69-FaceId-0_align.webp,hand,0.289715,0.071122
data/synthetic/_smoke/images/syn_000011.webp,0.299926,1.0,database3/database3/m.02fqh/59-FaceId-0_align.webp,hand,0.283823,0.016103
data/synthetic/_smoke/images/syn_000012.webp,0.408381,0.0,database3/database3/m.01lqf49/15-FaceId-0_align.webp,scarf,0.330829,0.077552
data/synthetic/_smoke/images/syn_000013.webp,0.357445,1.0,database1/img00007383.webp,headwear,0.337083,0.020362
data/synthetic/_smoke/images/syn_000014.webp,0.277647,0.0,database3/database3/m.02161y/112-FaceId-0_align.webp,hand,0.200253,0.077394
data/synthetic/_smoke/images/syn_000015.webp,0.284205,1.0,database3/database3/m.01m2gwz/33-FaceId-0_align.webp,scarf,0.271322,0.012883
data/synthetic/_smoke/images/syn_000016.webp,0.399316,0.0,database3/database3/m.0165ys/68-FaceId-0_align.webp,headwear,0.39456,0.004756
data/synthetic/_smoke/images/syn_000017.webp,0.390956,0.0,database3/database3/m.0225wf/3-FaceId-0_align.webp,hair,0.341289,0.049667
data/synthetic/_smoke/images/syn_000018.webp,0.297121,1.0,database3/database3/m.01k2zvf/107-FaceId-0_align.webp,hand,0.235141,0.06198
data/synthetic/_smoke/images/syn_000019.webp,0.428447,1.0,database3/database3/m.01f97r/19-FaceId-0_align.webp,scarf,0.417847,0.0106
data/synthetic/_smoke/images/syn_000020.webp,0.558372,1.0,database3/database3/m.026fyp0/22-FaceId-0_align.webp,scarf,0.483576,0.074796
